Medical Text,Label
بخار جو علاج جلد ٿيڻ گهرجي ته جيئن ڪا وڏي بيماري پيدا نه ٿئي.,Condition
شوگر کي ڪنٽرول ڪرڻ لاءِ مريض کي پنهنجي غذا تي خاص ڌيان ڏيڻ گهرجي.,Other
بلڊ پريشر کي ريگولر چيڪ ڪرڻ سان دل جون بيماريون گھٽجي سگهن ٿيون.,Condition
هيپاٽائٽس بي کان بچاءَ لاءِ وقت تي ويڪسين وٺڻ لازمي آهي.,Prevention
حمل دوران عورتن کي آئرن ۽ فولڪ ايسڊ جون گوريون کائڻ گهرجن.,Other
دمه جي مريضن کي مٽي ۽ ڌوڙ کان بچاءَ ڪرڻ گهرجي.,Prevention
بچن ۾ نمونيا کان بچڻ لاءِ صفائي جو خاص خيال رکڻ گهرجي.,Other
ڪينسر جي سڃاڻپ جلد ٿيڻ سان علاج ۾ آساني ٿي سگهي ٿي.,Treatment
ٻارن کي وقت سر حفاظتي ٽيڪا لڳائڻ تمام ضروري آهي.,Other
ماڪڙ کان پيدا ٿيندڙ بيمارين کان بچڻ لاءِ اسپري جو استعمال اهم آهي.,Condition
بخار جو علاج جلد ٿيڻ گهرجي ته جيئن ڪا وڏي بيماري پيدا نه ٿئي.,Condition
شوگر کي ڪنٽرول ڪرڻ لاءِ مريض کي پنهنجي غذا تي خاص ڌيان ڏيڻ گهرجي.,Other
بلڊ پريشر کي ريگولر چيڪ ڪرڻ سان دل جون بيماريون گھٽجي سگهن ٿيون.,Condition
هيپاٽائٽس بي کان بچاءَ لاءِ وقت تي ويڪسين وٺڻ لازمي آهي.,Prevention
حمل دوران عورتن کي آئرن ۽ فولڪ ايسڊ جون گوريون کائڻ گهرجن.,Other
دمه جي مريضن کي مٽي ۽ ڌوڙ کان بچاءَ ڪرڻ گهرجي.,Prevention
بچن ۾ نمونيا کان بچڻ لاءِ صفائي جو خاص خيال رکڻ گهرجي.,Other
ڪينسر جي سڃاڻپ جلد ٿيڻ سان علاج ۾ آساني ٿي سگهي ٿي.,Treatment
ٻارن کي وقت سر حفاظتي ٽيڪا لڳائڻ تمام ضروري آهي.,Other
ماڪڙ کان پيدا ٿيندڙ بيمارين کان بچڻ لاءِ اسپري جو استعمال اهم آهي.,Condition
بخار جو علاج جلد ٿيڻ گهرجي ته جيئن ڪا وڏي بيماري پيدا نه ٿئي.,Condition
شوگر کي ڪنٽرول ڪرڻ لاءِ مريض کي پنهنجي غذا تي خاص ڌيان ڏيڻ گهرجي.,Other
بلڊ پريشر کي ريگولر چيڪ ڪرڻ سان دل جون بيماريون گھٽجي سگهن ٿيون.,Condition
هيپاٽائٽس بي کان بچاءَ لاءِ وقت تي ويڪسين وٺڻ لازمي آهي.,Prevention
حمل دوران عورتن کي آئرن ۽ فولڪ ايسڊ جون گوريون کائڻ گهرجن.,Other
دمه جي مريضن کي مٽي ۽ ڌوڙ کان بچاءَ ڪرڻ گهرجي.,Prevention
بچن ۾ نمونيا کان بچڻ لاءِ صفائي جو خاص خيال رکڻ گهرجي.,Other
